id,url,url_status,fb,x,youtube,status,content_type,media_type,notes
44920d523b9014e19ee411e4d40993ba4517c44b,https://subscription.neologostonpatron.gr/,paywalled,https://www.facebook.com/p/%CE%9D%CE%B5%CE%BF%CE%BB%CF%8C%CE%B3%CE%BF%CF%82-100063992412468/,,,operating,news,,
a3a3c20ce5129582744ec8d6c0f75396426b1ccd,https://pelop.gr/,ok,https://www.facebook.com/peloponnisosnewspaper,https://x.com/pelopnews,https://www.youtube.com/peloponnisosmedia,operating,news,,
9b9546a28139a809a22ad126b5edf64ec59e34d3,,ok,,,,not_found,,,
1eab7ca0cc786cb5e7c70b88cbb364dcee0efa47,,ok,,,,not_found,,,
381f7469eafe3be2a3face415a56f96ec1aec32d,,ok,,,,not_found,other,,
5cf522e21720f7d60aa52d68564bf53fa38be037,,ok,,,,not_found,,,
daffbd32514489d5ca1e128a07ea52e4581f61ad,https://sportfmpatras.gr/,ok,https://www.facebook.com/sportfmpatras96.3,https://x.com/SportFM_Patras,https://www.youtube.com/@sportfmpatras,operating,sports,,
17ebf8b22bd7f0a0450bc27814e8510d713ce0d7,,ok,,,,not_found,other,,
f8d2be5d22e1ec1f26c11cbd7de2b4211f53cbb4,https://upfm.upatras.gr/,ok,https://www.facebook.com/upfmpatra/,https://x.com/upfmpatras,https://www.youtube.com/@UPFMUniversityofPatrasRadio,operating,other,,
23fd424971e6a79ddeb745cc0fa6669306aef668,,no_website,https://www.facebook.com/YouFm1001Greece/,,,operating,other,,
41a4774cfe911c23a7adfb483e7ee6085ddc8687,https://antennapatras.gr/,ok,https://www.facebook.com/antennapatras/?locale=el_GR,,https://www.youtube.com/channel/UCZWEaoi7EYQIMrM9N1ya6CA,operating,news,,
a2897818a041c013466337200249dfb119e90de2,https://www.imkalaig.gr/?section=2755&language=el_GR,ok,https://www.facebook.com/KALAVRYTANEWS,,,operating,other,,
17bf590e7d04f82c4051ad8b2cc6151d9339af87,https://themapatras.gr/,ok,https://www.facebook.com/themapatras/?locale=el_GR,,,operating,news,,
e70b41afd9639343f247c6a029bfe2d2ea374b65,https://www.melodiapatras.gr/site/,ok,https://www.facebook.com/melodiapatras.gr/?locale=el_GR,,,operating,other,,
1549e9e1ee478ab3edd93b88e99585b672150140,https://mousikilampsi.gr/,ok,https://www.facebook.com/mousikilampsi/?locale=el_GR,,,operating,other,,
830c7f928da881f69d5b13306ed1d0f6b2d74db8,,ok,,,,not_found,other,,
1a25a28a52a75f7cad6bfc8e2cbcf443bc4269e5,,ok,,,,not_found,news,,
3b696a81ef148075009978ad3b4890b5778d59c7,https://www.radioegio.gr/id/,ok,https://www.facebook.com/100055749042148/mentions/,,,operating,news,,
d0b617ae41fd7dac2357fb82f7d99c3dfe4961b5,,no_website,https://www.facebook.com/radiopatra1065/,,,operating,news,,
636bb28e38819f0f6503cf1f45b03385afa2eeb3,https://www.skaipatras.gr/,ok,https://www.facebook.com/skaipatras.gr?fref=ts,,https://www.youtube.com/user/skaipatras,operating,news,,
106dad5f4836c3773c5b92b0e10dd108fb6a0337,,ok,,,,not_found,other,,
7c53abafb37e6f6282c0f4288d5b69c761acf94f,,ok,,,,not_found,news,,
56ef282b342aabe680014e75aa0f539694cacd8a,https://megalopoli-fm.gr/,ok,,,megalopoli-fm,operating,news,,
f8ddac675a6dbab4a6befc1133a1d2b9defa191d,,no_website,,,,operating,news,,
92eb4daa46ac61f3f08917dca7918cd4fdd40ae1,,no_website,,,,not_found,unknown,,
2a4c3979f8a3fe8412c4c0667c5fa3b5e4b44c40,,no_website,,,,not_found,news,,
f82b43e2c4862a52170db410951a2da447211330,,no_website,,,,not_found,news,,
d89afb9c6d3319c2f2387214de21d294e6449e83,,no_website,,,,not_found,sports,,
9b27a45d2764cbcf55833adb45859a2dde515569,,no_website,,,,not_found,unknown,,
ac07bb599db8db6cb42006517d8525baf34b0b62,https://oraspor.gr/,ok,https://www.facebook.com/Oragiaspor/,,,operating,sports,,
7e9752bec551feced7a16c92c7037b6da4b2daf8,https://www.ipolimas.gr/index.php/aigaleo,ok,https://www.facebook.com/p/%CE%95%CF%86%CE%B7%CE%BC%CE%B5%CF%81%CE%AF%CE%B4%CE%B1-%CE%97-%CF%80%CE%BF%CE%BB%CE%B7-%CE%BC%CE%B1%CF%82-100027230272586/?locale=el_GR,,,operating,other,,
e4e3d1f0c5b39b461d92d93aa15af3eb3ea7f233,https://www.iapogevmatini.gr/,ok,https://www.facebook.com/apogevmatini,https://x.com/iapogevmatini,,operating,news,,
9b1bab242c6fa3dd6fb89cced863868c42e7c75d,https://www.geniki-dimoprasion.gr/,ok,,,,operating,news,,
905c9d19e19b32380b871d64e65ece6194349a5c,https://www.eleftherostypos.gr/,ok,https://www.facebook.com/EleftherosTypos,https://x.com/etyposgr,https://www.youtube.com/@eleftherostyposgr,operating,news,,
40cb48f31e5a1162dc3f30ad244bea5f9d906fc2,https://epikairotita-news.gr/,ok,https://www.facebook.com/p/%CE%95%CF%80%CE%B9%CE%BA%CE%B1%CE%B9%CF%81%CF%8C%CF%84%CE%B7%CF%84%CE%B1-%CE%94%CF%85%CF%84%CE%B9%CE%BA%CE%AE%CF%82-%CE%91%CF%84%CF%84%CE%B9%CE%BA%CE%AE%CF%82-100028578503511/?locale=el_GR,,,operating,news,,
5db1bea7ef1ef8014cef91d75d1b38a2449bffb6,,no_website,,,,operating,news,,
b207a2a0d63bbed0d3b4bbddca393f7bebaa0ea1,,no_website,,,,operating,news,,
